CIK Number,Filing Type,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap_CostOfRevenue,us-gaap_GrossProfit,us-gaap_ResearchAndDevelopmentExpense,us-gaap_SellingAndMarketingExpense,us-gaap_GeneralAndAdministrativeExpense,us-gaap_OperatingExpenses,us-gaap_OperatingIncomeLoss
1617798,10-Q,,2688.0,,,,,,7511.0
1617798,10-K,,12728.0,,,,,,6416.0
1617798,10-Q,,3770.0,,,,,,7405.0
1617798,10-Q,,3296.0,,,,,,5788.0
1617798,10-Q,,2192.0,,,,,,5330.0
1617798,10-K,,4282.0,,,,,,2466.0
1617798,10-Q,,1610.0,,,,,,2481.0
1617798,10-Q,,,,,,,,-4082.0
1533932,10-Q,,,769000000.0,,304000000.0,105600.0,,236500.0
1533932,10-Q,,,679100.0,,290900.0,127400.0,,106300.0
1533932,10-K,,,2793700.0,,1131700.0,662100.0,,338600.0
1533932,10-Q,,,722100.0,,295800.0,140700.0,,77700.0
1533932,10-Q,,,723400.0,,283400.0,136800.0,,113200.0
1533932,10-Q,,,584700.0,,266000.0,250100.0,,-27700.0
1533932,10-K,,,1453806.0,,669506.0,295101.0,,521547.0
1533932,10-Q,,,380453.0,,173779.0,49607.0,,168864.0
1533932,10-Q,,,361768.0,,168263.0,50727.0,,153722.0
1533932,10-Q,,,315070.0,,155040.0,89298.0,,73762.0
1533932,10-K,,,1322510.0,,582251.0,189707.0,,568514.0
1533932,10-Q,,,337410.0,,153248.0,40727.0,,158435.0
1533932,10-Q,,,335637.0,,144844.0,49120.0,,147684.0
1533932,10-Q,,,295572.0,,135638.0,43984.0,,109655.0
1533932,10-K,,,1177787.0,,503949.0,182369.0,,434410.0
1533932,10-Q,,,297969.0,,132481.0,41492.0,,119276.0
1533932,10-Q,,,300721.0,,122925.0,47060.0,,109451.0
1533932,10-Q,,,258410.0,,116055.0,47843.0,,74026.0
1533932,10-K,,,1006185.0,,396353.0,173986.0,,314691.0
1533932,10-Q,,,269284.0,,111233.0,45422.0,,97914.0
